                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4156,                 3.2561,                  1.132,                0.00333,                      1,                0.51999,                0.25741,                 1.1841,                 3.9715,                 0.9714,                0.00034,                0.00034,                0.00034
                      2,                 1.2907,                 1.7864,                 1.1294,                0.00327,                0.98148,                0.10379,                0.04032,                 1.2444,                 4.3729,                 1.0171,             0.00069861,             0.00069861,             0.00069861
                      3,                 1.2658,                 1.5908,                 1.1477,                0.00216,                0.64815,                0.08393,                0.06883,                  1.892,                 4.9297,                 1.6952,              0.0010558,              0.0010558,              0.0010558
                      4,                 1.2391,                 1.3534,                 1.1338,                0.00173,                0.51852,                0.03973,                 0.0294,                 2.3326,                 4.7002,                 1.7318,              0.0014116,              0.0014116,              0.0014116
                      5,                 1.1676,                 1.2075,                 1.1016,                0.94934,                0.77778,                0.89851,                0.52357,                 1.3302,                 1.9831,                 1.1419,              0.0017659,              0.0017659,              0.0017659
                      6,                 1.1664,                 1.0961,                 1.1252,                0.55719,                0.09259,                0.12481,                0.06773,                 2.2624,                 3.4735,                 2.1892,              0.0019802,              0.0019802,              0.0019802
                      7,                 1.1794,                0.96296,                 1.1034,                0.25409,                0.10737,                 0.1228,                0.04794,                 2.2767,                 3.3919,                  1.802,              0.0019762,              0.0019762,              0.0019762
                      8,                 1.1702,                0.86674,                 1.1124,                0.92951,                0.97679,                0.98747,                0.63745,                 1.2423,                0.89361,                 1.1438,              0.0019723,              0.0019723,              0.0019723
                      9,                 1.1286,                0.78633,                 1.0871,                0.99703,                0.90741,                0.98324,                0.59077,                 1.4034,                0.87028,                 1.2179,              0.0019683,              0.0019683,              0.0019683
                     10,                 1.1697,                0.77407,                 1.1186,                0.82448,                0.83333,                 0.9121,                0.42155,                 1.7305,                 1.0835,                 1.4327,              0.0019644,              0.0019644,              0.0019644
                     11,                 1.1359,                0.73903,                 1.0981,                 0.9956,                0.90741,                0.97852,                 0.6339,                 1.3556,                0.80459,                 1.1827,              0.0019604,              0.0019604,              0.0019604
                     12,                 1.1079,                0.70313,                 1.0935,                0.99443,                0.96296,                0.99187,                0.62434,                 1.3009,                0.81343,                 1.1614,              0.0019564,              0.0019564,              0.0019564
                     13,                 1.1369,                0.69105,                 1.0804,                0.70602,                0.53376,                0.63368,                0.37504,                 1.7673,                 1.9489,                 1.3762,              0.0019525,              0.0019525,              0.0019525
                     14,                 1.0922,                0.66713,                 1.0683,                      1,                0.85106,                0.94762,                0.52889,                 1.4969,                0.92345,                 1.2369,              0.0019485,              0.0019485,              0.0019485
                     15,                  1.084,                0.63317,                 1.0804,                0.95552,                0.94444,                0.98294,                0.63346,                 1.2267,                0.73237,                 1.1047,              0.0019446,              0.0019446,              0.0019446
                     16,                 1.0723,                0.62171,                 1.0785,                0.96034,                      1,                 0.9939,                0.69718,                 1.1651,                0.63158,                 1.1051,              0.0019406,              0.0019406,              0.0019406
                     17,                 1.0494,                0.58865,                 1.0763,                0.96164,                      1,                0.99409,                0.65004,                 1.2656,                0.63915,                 1.1291,              0.0019366,              0.0019366,              0.0019366
                     18,                 1.0459,                0.59251,                 1.0536,                0.99863,                      1,                  0.995,                0.65726,                 1.2188,                0.59369,                 1.1193,              0.0019327,              0.0019327,              0.0019327
                     19,                 1.0602,                0.59788,                 1.0692,                0.99688,                      1,                  0.995,                0.69617,                 1.1352,                0.52413,                 1.0722,              0.0019287,              0.0019287,              0.0019287
                     20,                 1.0739,                0.60055,                 1.0961,                0.99885,                      1,                  0.995,                0.63169,                 1.2697,                0.53656,                 1.1562,              0.0019248,              0.0019248,              0.0019248
                     21,                 1.0678,                0.57232,                 1.0782,                0.96362,                0.98108,                0.99152,                0.63666,                 1.2609,                 0.6323,                 1.1385,              0.0019208,              0.0019208,              0.0019208
                     22,                 1.0265,                0.57244,                 1.0579,                0.99726,                      1,                  0.995,                0.59064,                 1.4154,                0.61968,                 1.2106,              0.0019168,              0.0019168,              0.0019168
                     23,                 1.0433,                0.57005,                 1.0633,                0.98122,                0.96737,                0.99394,                0.67429,                 1.2046,                0.58955,                 1.1188,              0.0019129,              0.0019129,              0.0019129
                     24,                 1.0417,                0.56504,                 1.0658,                0.98519,                      1,                  0.995,                0.65552,                 1.2466,                0.54884,                 1.1126,              0.0019089,              0.0019089,              0.0019089
                     25,                 1.0228,                0.54699,                 1.0519,                0.96223,                0.92593,                 0.9865,                0.63421,                 1.2658,                0.62695,                 1.1041,               0.001905,               0.001905,               0.001905
                     26,                 1.0039,                0.53562,                 1.0399,                      1,                0.98126,                  0.994,                0.63596,                 1.2505,                0.52967,                 1.1212,               0.001901,               0.001901,               0.001901
